state,action,reward,next state
"[336.12567138671875, 54.99104690551758, -0.005379352252930403, 35.994291351787105, 0.0]",1,"[0.8, 0.7390166077363935, -0.00020740605890750885, 1.5388092016774861]","[338.89288330078125, 14.397750854492188, -0.0037845419719815254, 14.780332154727871, 0.0]"
"[338.89288330078125, 14.397750854492188, -0.0037845419719815254, 14.780332154727871, 0.0]",1,"[0.8, 1.3181137854853542, -0.002969646453857422, 2.115144139031497]","[373.2825012207031, 2.0132482051849365, -0.0027519415598362684, 26.36227570970708, 0.0]"
"[373.2825012207031, 2.0132482051849365, -0.0027519415598362684, 26.36227570970708, 0.0]",1,"[0.8, 2.1419503497843713, -4.842691123485565e-05, 2.9419019228731367]","[392.3478698730469, 37.14677810668945, -0.0045578572899103165, 42.83900699568742, 0.0]"
"[392.3478698730469, 37.14677810668945, -0.0045578572899103165, 42.83900699568742, 0.0]",0.0,"[0.8, -0.2, -5.591101944446564e-06, 0.5999944088980556]","[392.29937744140625, 137.97125244140625, -0.0054875751957297325, 90.84483782890364, 0.0]"
"[392.29937744140625, 137.97125244140625, -0.0054875751957297325, 90.84483782890364, 0.0]",0.0,"[0.8, -0.2, -8.053891360759734e-06, 0.5999919461086393]","[392.33038330078125, 267.32232666015625, -0.004391269758343697, 60.334400094890924, 0.0]"
"[392.33038330078125, 267.32232666015625, -0.004391269758343697, 60.334400094890924, 0.0]",3,"[0.8, 1.6405948902807421, -0.005164337158203125, 2.435430553122539]","[385.1871032714844, 326.64593505859375, -0.005246448330581188, 32.81189780561484, 0.0]"
"[385.1871032714844, 326.64593505859375, -0.005246448330581188, 32.81189780561484, 0.0]",2,"[0.8, 0.8282819514746435, -0.032338428497314456, 1.595943522977329]","[350.4524230957031, 326.6108093261719, -0.004921550862491131, 16.565639029492868, 0.0]"
"[350.4524230957031, 326.6108093261719, -0.004921550862491131, 16.565639029492868, 0.0]",2.0,"[0.8, 1.7201173793091673, -0.02509593963623047, 2.4950214396729367]","[309.336669921875, 326.6100158691406, -0.005486049689352512, 34.402347586183346, 0.0]"
"[309.336669921875, 326.6100158691406, -0.005486049689352512, 34.402347586183346, 0.0]",3,"[0.8, 1.5777859042782545, -0.0018459320068359376, 2.3759399722714187]","[262.67010498046875, 326.6066589355469, -0.0048058126121759415, 31.55571808556509, 0.0]"
"[262.67010498046875, 326.6066589355469, -0.0048058126121759415, 31.55571808556509, 0.0]",0.0,"[0.8, 1.4919081691329876, -0.014722824096679688, 2.277185345036308]","[215.78733825683594, 326.6019287109375, -0.003825817024335265, 29.83816338265975, 0.0]"
