state,action,reward,next state
[39],3,"[0.8, 0.7744410864792624, -0.00022245300933718682, 1.574218633469925]",[30]
[30],4,"[0.8, 1.6535055367667402, -1.087188720703125e-05, 2.4534946648795333]",[22]
[22],3,"[0.8, 1.5637188096596955, -0.0069316476583480835, 2.356787162001347]",[22]
[22],3,"[0.8, -0.2, -3.8192793726921086e-05, 0.5999618072062731]",[39]
[39],0,"[0.8, -0.2, -0.00030514793470501903, 0.599694852065295]",[4]
[4],2,"[0.8, 2.0627848580828743, -3.851354122161865e-05, 2.8627463445416526]",[38]
[38],4,"[0.8, 1.4675610193983954, -0.011463165283203125, 2.2560978541151924]",[38]
[38],3,"[0.8, 0.0, -0.0, 0.8]",[1]
[1],5,"[0.8, 0.0, -0.0, 0.8]",[1]
[1],5,"[0.8, 0.0, -0.0, 0.8]",[1]
[1],5,"[0.8, 0.0, -0.0, 0.8]",[1]
[1],5,"[0.8, 0.0, -0.0, 0.8]",[1]
[1],5,"[0.8, 0.0, -0.0, 0.8]",[1]
[1],5,"[0.8, 0.6202741035432102, -0.05990824699401855, 1.3603658565491918]",[1]
[1],0,"[0.8, 1.5803619343418587, -0.0009892284870147705, 2.379372705854844]",[11]
[11],3,"[0.8, 1.5724588493659502, -3.6413781344890595e-06, 2.372455207987816]",[25]
[25],0,"[0.8, 1.1541671821616741, -6.412994116544724e-06, 1.9541607691675575]",[33]
[33],0,"[0.8, 0.0, -0.0, 0.8]",[33]
[33],5,"[0.8, 0.0, -0.0, 0.8]",[33]
[33],5,"[0.8, 0.8325656268648252, -1.5387777239084244e-06, 1.6325640880871013]",[33]
[33],3,"[0.8, 1.51529781416253, -0.0007284164428710938, 2.3145693977196586]",[24]
[24],4,"[0.8, 1.5165384962467758, -7.2479248046875005e-06, 2.3165312483219713]",[18]
[18],3,"[0.8, 1.5165323172305543, -7.43865966796875e-06, 2.3165248785708865]",[2]
[2],0,"[0.8, 1.6049822669167524, -0.0006628036499023438, 2.40431946326685]",[21]
[21],4,"[0.8, 1.4611435322214659, -0.0011915206909179688, 2.2599520115305483]",[27]
[27],0,"[0.8, 0.670587886559048, -0.001704835891723633, 1.4688830506673245]",[27]
[27],0,"[0.8, 1.6065126700558214, -0.011692333221435548, 2.394820336834386]",[14]
[14],3,"[0.8, 1.3801186771152516, -2.0942429546266795e-05, 2.180097734685705]",[48]
[48],5,"[0.8, 1.3283044200512615, -2.4452805519104003e-06, 2.12830197477071]",[3]
[3],6,"[0.8, 0.5986884665833984, -2.1433806978166103e-06, 1.3986863232027007]",[3]
[3],5,"[0.8, 3.261678590202071e-08, -1.6231883392947567e-10, 0.8000000324544672]",[3]
[3],7,"[0.8, 1.5882328149419762e-07, -4.998761141905561e-08, 0.8000001088356701]",[3]
[3],7,"[0.8, 4.121887719139304e-08, -2.745664914982626e-08, 0.8000000137622281]",[3]
[3],7,"[0.8, 2.592089499312802e-07, -1.116736640938143e-09, 0.8000002580922133]",[3]
[3],7,"[0.8, 0.7757059748018685, -0.003997594118118286, 1.5717083806837504]",[3]
[3],3,"[0.8, 0.8280259386693896, -0.0012420654296875, 1.626783873239702]",[28]
[28],3,"[0.8, 2.4697017029772685, -5.7220458984375e-07, 3.2697011307726784]",[3]
[3],3,"[0.8, 2.9818817663225854, -0.031499481201171874, 3.7503822851214137]",[11]
[11],0,"[0.8, 1.2611627647857901, -0.026672744750976564, 2.0344900200348137]",[11]
[11],0,"[0.8, 9.628328308303592e-08, -2.7293543780615436e-09, 0.8000000935539288]",[11]
[11],7,"[0.8, 1.1329654540833524e-07, -3.614036625521066e-11, 0.8000001132604051]",[11]
[11],7,"[0.8, 5.321519285811007e-08, -3.632574241407838e-11, 0.8000000531788671]",[11]
[11],7,"[0.8, 1.5450123222323546e-08, -3.569231799005479e-11, 0.800000015414431]",[11]
[11],7,"[0.8, 1.1501313767992721e-07, -1.270575111789185e-10, 0.8000001148860802]",[11]
[11],7,"[0.8, 6.694800006120622e-08, -7.195755546973715e-11, 0.8000000668760425]",[11]
[11],7,"[0.8, 0.6940069740150393, -0.03831453323364258, 1.4556924407813967]",[11]
[11],3,"[0.8, 1.1691944791986082, -0.005828189849853516, 1.9633662893487547]",[1]
[1],0,"[0.8, 1.170925298734667, -0.0035305023193359375, 1.967394796415331]",[38]
[38],3,"[0.8, 1.17115250093029, -7.0229172706604006e-06, 1.9711454780130195]",[38]
[38],0,"[0.8, -0.2, -5.541369318962097e-07, 0.5999994458630682]",[33]
[33],0,"[0.8, -0.2, -9.080395102500916e-08, 0.5999999091960491]",[29]
[29],0,"[0.8, 2.1595938475812826, -2.762824296951294e-05, 2.9595662193383134]",[22]
[22],0,"[0.8, 1.5078673800214941, -0.06703395843505859, 2.2408334215864354]",[22]
[22],3,"[0.8, 0.9572699743179287, -0.07986602783203126, 1.6774039464858976]",[22]
[22],5,"[0.8, 0.8488039436506295, -0.007889366149902344, 1.6409145775007272]",[22]
[22],0,"[0.8, 1.4006258413927997, -0.0002032484859228134, 2.200422592906877]",[30]
[30],3,"[0.8, 1.858385079464545e-07, -1.8871590157232278e-09, 0.800000183951349]",[30]
[30],6,"[0.8, 0.8647903878219316, -0.00044663667678833006, 1.6643437511451433]",[39]
[39],3,"[0.8, 1.4912805947134273, -0.0018646240234375, 2.2894159706899897]",[39]
[39],3,"[0.8, 1.4879575783689232, -5.7220458984375e-07, 2.2879570061643335]",[37]
[37],0,"[0.8, 1.4879582419212871, -5.7220458984375e-07, 2.2879576697166972]",[46]
[46],0,"[0.8, 1.1726233388688534, -0.010041236877441406, 1.962582101991412]",[10]
[10],3,"[0.8, 6.534081961197718e-08, -1.0949410125249415e-08, 0.8000000543914095]",[10]
[10],6,"[0.8, 9.270538156343539e-08, -1.0783982595796716e-10, 0.8000000925975418]",[10]
[10],6,"[0.8, 1.2703272155926273e-07, -4.171198142444155e-10, 0.8000001266156018]",[10]
[10],6,"[0.8, 1.4763048668840614e-07, -4.169464062897532e-10, 0.8000001472135403]",[10]
[10],6,"[0.8, 0.7780298729442379, -0.005198287963867188, 1.5728315849803707]",[10]
[10],4,"[0.8, 1.3870439365785439, -0.003263187408447266, 2.1837807491700967]",[16]
[16],0,"[0.8, 0.0, -0.0, 0.8]",[16]
[16],5,"[0.8, 0.7390054786892879, -0.0048768043518066405, 1.5341286743374813]",[43]
[43],3,"[0.8, 1.3892955371675955, -0.00022401437163352967, 2.1890715227959623]",[40]
[40],4,"[0.8, 0.0, -2.5828069283306832e-08, 0.7999999741719308]",[31]
[31],5,"[0.8, 1.262559477330497, -0.00018523138016462325, 2.0623742459503323]",[19]
[19],4,"[0.8, 1.1818814663934303, -0.00016236262395977975, 1.9817191037694706]",[7]
[7],3,"[0.8, 1.9236589325215925, -0.001422119140625, 2.7222368133809676]",[14]
[14],4,"[0.8, 1.9266605210131003, -0.0, 2.7266605210131]",[17]
[17],3,"[0.8, 1.9266600269672634, -0.0, 2.7266600269672634]",[2]
[2],0,"[0.8, 1.9266601778124652, -1.9073486328125e-07, 2.726659987077602]",[18]
[18],3,"[0.8, 1.0152131959924928, -0.009294986724853516, 1.8059182092676394]",[4]
[4],0,"[0.8, 1.2857455949145709, -0.00015661120414733887, 2.085588983710424]",[33]
[33],4,"[0.8, 1.2873838309489711, -0.00025587234646081927, 2.0871279586025104]",[25]
[25],4,"[0.8, 1.2873737955047995, -5.271285772323608e-06, 2.087368524219027]",[25]
[25],0,"[0.8, 7.996605934642674e-06, -4.908526989311213e-08, 0.8000079475206648]",[11]
